Order Number,Order Date and Time,Order_City,Restaurant Type,Total Bill (in Saudi Riyals),Delivery Duration (in minutes),Customer Rating (from 1 to 5 stars),Realistic Rating Order Time,Customer_Rating_Cities,Customer_Rating_Restaurants,Customer_Rating_Order_Time,Customer_Rating_Money_Spent
203,2025-01-18 12:17:00,Jeddah,Sweets,252.73,15,3,5,4.223851417399804,4.297872340425532,4.327868852459017,5.0
204,2023-05-12 19:40:00,Buraidah,Barbecue,535.7,7,4,4,4.271219512195122,4.260663507109005,4.238207547169812,4.0
205,2023-05-10 07:47:00,Hail,Coffee,395.11,14,4,5,4.204795204795205,4.208937198067633,4.263657957244655,5.0
206,2023-04-03 23:39:00,Abha,Fast Food,698.11,5,5,5,4.220661985957873,4.261648745519714,4.266666666666667,5.0
207,2024-12-21 13:30:00,Buraidah,Coffee,499.87,8,5,5,4.271219512195122,4.208937198067633,4.231578947368421,5.0
208,2023-10-21 07:49:00,Jeddah,Sushi,369.38,19,3,2,4.223851417399804,4.198135198135198,4.263657957244655,2.0
209,2022-02-18 06:55:00,Dammam,Sushi,57.05,9,3,5,4.231064237775647,4.198135198135198,4.230769230769231,5.0
210,2023-05-26 01:57:00,Abha,Sushi,791.81,10,2,4,4.220661985957873,4.198135198135198,4.268472906403941,4.0
211,2023-09-17 18:31:00,Buraidah,Vegetarian/Vegan,233.82,8,2,5,4.271219512195122,4.229857819905213,4.261851015801354,5.0
212,2022-02-10 15:54:00,Tabuk,Indian Cuisine,243.05,12,4,5,4.244618395303327,4.278230500582072,4.225882352941176,5.0
213,2023-08-23 05:57:00,Tabuk,Sweets,237.11,9,5,5,4.244618395303327,4.297872340425532,4.259345794392523,5.0
214,2024-04-22 19:54:00,Jeddah,Fast Food,207.25,18,1,2,4.223851417399804,4.261648745519714,4.238207547169812,2.0
215,2024-05-18 00:38:00,Tabuk,Fast Food,659.15,13,1,5,4.244618395303327,4.261648745519714,4.241217798594848,5.0
